,respondent_id,seasonal_taken,xyz_taken
0,0,0.0,0.0
1,1,0.0,0.0
3,3,1.0,0.0
4,4,0.0,0.0
5,5,1.0,0.0
6,6,0.0,0.0
7,7,0.0,1.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,1.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,1.0,0.0
16,16,1.0,1.0
17,17,1.0,1.0
18,18,1.0,1.0
19,19,0.0,0.0
20,20,1.0,1.0
21,21,0.0,1.0
22,22,1.0,1.0
23,23,0.0,0.0
24,24,1.0,1.0
25,25,0.0,0.0
26,26,1.0,1.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,1.0,1.0
30,30,1.0,1.0
31,31,0.0,0.0
32,32,0.0,0.0
33,33,1.0,1.0
34,34,0.0,0.0
35,35,1.0,1.0
36,36,1.0,0.0
37,37,0.0,0.0
38,38,1.0,1.0
39,39,0.0,0.0
40,40,0.0,0.0
41,41,0.0,0.0
43,43,1.0,1.0
45,45,0.0,0.0
46,46,0.0,0.0
47,47,0.0,0.0
48,48,0.0,0.0
49,49,0.0,0.0
50,50,0.0,0.0
51,51,0.0,0.0
52,52,0.0,0.0
53,53,0.0,0.0
54,54,0.0,0.0
55,55,0.0,0.0
56,56,0.0,0.0
58,58,1.0,0.0
59,59,1.0,0.0
60,60,1.0,1.0
61,61,0.0,0.0
62,62,0.0,0.0
63,63,1.0,1.0
65,65,0.0,0.0
66,66,0.0,0.0
67,67,1.0,1.0
68,68,1.0,0.0
69,69,0.0,0.0
70,70,0.0,0.0
71,71,1.0,0.0
72,72,0.0,0.0
73,73,0.0,0.0
74,74,1.0,1.0
75,75,1.0,1.0
77,77,1.0,0.0
78,78,0.0,0.0
79,79,0.0,0.0
80,80,0.0,0.0
81,81,0.0,0.0
82,82,0.0,0.0
83,83,1.0,1.0
84,84,0.0,0.0
85,85,0.0,0.0
86,86,0.0,0.0
87,87,0.0,0.0
88,88,1.0,0.0
91,91,1.0,0.0
92,92,0.0,0.0
93,93,0.0,0.0
95,95,1.0,1.0
98,98,0.0,0.0
99,99,0.0,0.0
100,100,1.0,1.0
101,101,1.0,1.0
103,103,1.0,0.0
104,104,0.0,0.0
106,106,0.0,0.0
107,107,0.0,0.0
108,108,0.0,0.0
109,109,1.0,0.0
110,110,1.0,1.0
111,111,0.0,0.0
112,112,1.0,1.0
113,113,0.0,0.0
114,114,0.0,0.0
115,115,0.0,0.0
116,116,0.0,0.0
117,117,0.0,0.0
118,118,0.0,0.0
120,120,0.0,0.0
121,121,0.0,0.0
122,122,1.0,1.0
123,123,0.0,1.0
124,124,0.0,0.0
125,125,1.0,0.0
126,126,0.0,0.0
127,127,0.0,0.0
128,128,1.0,0.0
129,129,0.0,0.0
130,130,0.0,0.0
131,131,1.0,0.0
132,132,0.0,0.0
133,133,0.0,0.0
134,134,0.0,0.0
135,135,0.0,0.0
137,137,0.0,0.0
138,138,0.0,0.0
139,139,0.0,0.0
140,140,0.0,0.0
141,141,0.0,0.0
142,142,0.0,0.0
143,143,0.0,0.0
144,144,0.0,0.0
145,145,0.0,0.0
146,146,1.0,1.0
147,147,1.0,0.0
148,148,0.0,0.0
151,151,0.0,0.0
152,152,0.0,0.0
154,154,1.0,1.0
155,155,0.0,0.0
156,156,0.0,0.0
157,157,0.0,0.0
158,158,0.0,0.0
159,159,0.0,0.0
160,160,1.0,0.0
161,161,0.0,0.0
162,162,0.0,0.0
163,163,0.0,0.0
164,164,0.0,0.0
165,165,1.0,0.0
166,166,1.0,1.0
167,167,0.0,0.0
168,168,0.0,0.0
170,170,0.0,0.0
171,171,0.0,0.0
172,172,1.0,1.0
173,173,0.0,0.0
174,174,1.0,1.0
176,176,0.0,0.0
177,177,0.0,0.0
178,178,0.0,0.0
179,179,0.0,0.0
181,181,0.0,0.0
182,182,0.0,0.0
185,185,0.0,0.0
186,186,0.0,0.0
187,187,0.0,0.0
188,188,0.0,0.0
189,189,1.0,0.0
190,190,0.0,0.0
191,191,0.0,0.0
192,192,0.0,1.0
193,193,0.0,0.0
194,194,0.0,1.0
195,195,1.0,1.0
196,196,0.0,0.0
197,197,0.0,0.0
199,199,1.0,1.0
200,200,1.0,1.0
201,201,0.0,0.0
202,202,0.0,0.0
204,204,0.0,0.0
206,206,0.0,0.0
207,207,1.0,0.0
208,208,1.0,0.0
209,209,0.0,0.0
210,210,0.0,0.0
211,211,1.0,1.0
212,212,1.0,1.0
213,213,0.0,0.0
214,214,0.0,0.0
215,215,1.0,1.0
216,216,0.0,0.0
218,218,1.0,0.0
219,219,0.0,0.0
220,220,1.0,0.0
221,221,0.0,0.0
222,222,1.0,1.0
223,223,0.0,0.0
224,224,0.0,0.0
225,225,1.0,1.0
226,226,0.0,0.0
227,227,0.0,0.0
228,228,1.0,1.0
229,229,1.0,0.0
230,230,1.0,0.0
231,231,1.0,0.0
232,232,0.0,0.0
233,233,0.0,0.0
235,235,0.0,0.0
236,236,0.0,0.0
240,240,1.0,0.0
241,241,1.0,0.0
242,242,0.0,0.0
243,243,1.0,0.0
244,244,1.0,0.0
245,245,0.0,0.0
246,246,0.0,0.0
247,247,0.0,0.0
248,248,0.0,0.0
249,249,0.0,0.0
250,250,0.0,0.0
251,251,0.0,0.0
252,252,0.0,0.0
253,253,0.0,0.0
254,254,1.0,0.0
255,255,0.0,1.0
256,256,0.0,0.0
257,257,1.0,0.0
258,258,0.0,0.0
259,259,1.0,1.0
260,260,0.0,0.0
261,261,0.0,0.0
262,262,1.0,1.0
263,263,0.0,0.0
264,264,0.0,0.0
265,265,0.0,0.0
266,266,0.0,0.0
267,267,0.0,0.0
268,268,0.0,0.0
270,270,0.0,0.0
271,271,0.0,0.0
272,272,0.0,0.0
273,273,0.0,0.0
274,274,0.0,0.0
275,275,1.0,0.0
276,276,1.0,1.0
277,277,0.0,0.0
278,278,1.0,1.0
279,279,0.0,0.0
281,281,1.0,0.0
282,282,0.0,0.0
283,283,1.0,1.0
284,284,1.0,1.0
286,286,0.0,0.0
287,287,0.0,0.0
288,288,1.0,1.0
289,289,0.0,0.0
290,290,0.0,0.0
291,291,0.0,0.0
292,292,1.0,0.0
293,293,1.0,1.0
294,294,0.0,0.0
295,295,0.0,0.0
296,296,1.0,1.0
297,297,0.0,0.0
298,298,0.0,0.0
299,299,0.0,0.0
300,300,1.0,1.0
301,301,0.0,0.0
302,302,0.0,0.0
303,303,1.0,1.0
304,304,0.0,0.0
305,305,0.0,0.0
306,306,1.0,1.0
307,307,0.0,0.0
308,308,1.0,1.0
309,309,0.0,0.0
310,310,0.0,0.0
311,311,0.0,0.0
312,312,0.0,0.0
313,313,0.0,0.0
314,314,1.0,0.0
315,315,1.0,1.0
316,316,0.0,0.0
317,317,0.0,0.0
318,318,1.0,1.0
319,319,1.0,1.0
320,320,0.0,0.0
322,322,0.0,0.0
323,323,0.0,0.0
325,325,0.0,0.0
326,326,0.0,0.0
327,327,1.0,0.0
329,329,0.0,0.0
330,330,1.0,1.0
331,331,0.0,0.0
333,333,1.0,0.0
335,335,0.0,0.0
336,336,0.0,0.0
337,337,0.0,0.0
338,338,0.0,0.0
339,339,1.0,1.0
340,340,0.0,0.0
341,341,0.0,0.0
342,342,0.0,0.0
343,343,1.0,0.0
344,344,1.0,1.0
346,346,0.0,0.0
348,348,1.0,0.0
349,349,0.0,0.0
